timestamp,accX,accY,accZ
606399,523,222,-16317
606403,280,160,-17389
606407,530,79,-15335
606411,462,35,-17390
606415,70,57,-16154
606419,574,7,-15731
606423,516,-463,-16468
606427,344,-344,-17101
606431,337,-536,-15695
606435,187,383,-16829
606439,242,-324,-16720
606443,652,292,-15506
606447,88,434,-16957
606451,98,32,-16929
606455,259,215,-16033
606459,637,164,-16710
606463,367,166,-16622
606467,178,433,-15826
606471,231,268,-15896
606475,465,8,-16999
606479,543,-167,-15236
606483,410,13,-16197
606487,261,-58,-16688
606491,514,-49,-15126
606495,120,7,-16932
606499,875,-121,-15939
606503,434,250,-14821
606507,234,-247,-17435
606511,304,-339,-15207
606515,517,-75,-17222
606519,326,185,-14958
606523,129,172,-18442
606527,424,148,-16396
606531,515,177,-15872
606535,427,343,-17361
606539,543,-82,-15711
606543,295,27,-17121
606547,551,29,-16902
606551,653,-242,-16498
606555,58,-187,-16299
606559,309,-75,-15666
606563,522,-209,-16738
606567,388,122,-16860
606571,557,-198,-16062
606575,211,-67,-16471
606579,349,-57,-16759
606583,548,129,-16330
606587,190,172,-16275
606591,24,-28,-17096
606595,53,-172,-15983
606599,403,411,-17527
606603,189,-159,-15391
606607,433,139,-17419
606611,217,18,-16246
606615,236,-39,-16124
606619,474,-262,-17449
606623,475,-23,-16745
606627,256,-114,-15785
606631,497,-234,-17445
606636,502,69,-15814
606639,471,-67,-17168
606643,816,-4,-16962
606647,412,-338,-15909
606651,334,58,-16846
606655,831,-154,-15647
606660,186,103,-17439
606664,453,-80,-15911
606668,-78,464,-16299
606672,-10,251,-16282
606676,380,-55,-17077
606680,249,319,-15314
606684,295,99,-17208
606688,203,27,-16795
606691,327,-287,-15954
606696,406,-415,-17631
606700,445,265,-17127
606704,334,-225,-15743
606708,626,-62,-17338
606712,551,-100,-16649
606716,259,-273,-16682
606720,605,241,-16033
606724,474,-36,-16036
606728,302,269,-16737
606732,394,278,-16098
606736,345,122,-17117
606740,512,419,-15291
606744,354,59,-16955
606748,161,214,-16399
606752,424,170,-15938
606756,475,-189,-16640
