timestamp,accX,accY,accZ
121566,-1067,51,-16442
121570,-1084,58,-16430
121574,-1101,74,-16429
121578,-1084,84,-16434
121582,-1055,86,-16428
121586,-1085,60,-16430
121591,-1103,75,-16414
121595,-1081,59,-16418
121599,-1079,55,-16428
121603,-1097,60,-16425
121607,-1075,99,-16419
121611,-1095,88,-16434
121615,-1100,89,-16440
121619,-1088,80,-16439
121623,-1093,79,-16419
121627,-1107,83,-16423
121632,-1094,74,-16415
121636,-1087,81,-16427
121640,-1077,74,-16430
121644,-1089,87,-16420
121648,-1096,85,-16425
121652,-1098,86,-16454
121656,-1089,63,-16443
121660,-1079,77,-16430
121664,-1086,83,-16431
121668,-1072,70,-16432
121672,-1079,77,-16441
121676,-1097,72,-16447
121681,-1082,85,-16444
121685,-1081,83,-16438
121689,-1083,74,-16418
121693,-1093,88,-16438
121697,-1108,87,-16433
121701,-1072,76,-16444
121705,-1094,78,-16434
121709,-1082,76,-16418
121713,-1096,84,-16432
121718,-1070,75,-16432
121722,-1083,73,-16429
121726,-1110,70,-16434
121730,-1103,101,-16437
121734,-1110,73,-16442
121738,-1087,79,-16425
121742,-1097,85,-16431
121746,-1094,73,-16428
121750,-1086,77,-16446
121755,-1104,90,-16435
121759,-1096,91,-16445
121763,-1089,99,-16429
121767,-1106,104,-16422
121771,-1100,83,-16426
121775,-1087,87,-16430
121779,-1090,80,-16438
121783,-1091,77,-16460
121787,-1088,79,-16424
121792,-1099,75,-16429
121796,-1084,97,-16436
121800,-1081,101,-16437
121804,-1085,74,-16429
121808,-1080,93,-16436
121812,-1094,86,-16421
121816,-1086,66,-16431
121820,-1072,81,-16418
121824,-1102,91,-16443
121828,-1081,79,-16438
121833,-1090,64,-16438
121837,-1092,80,-16439
121841,-1102,78,-16431
121845,-1104,97,-16429
121849,-1077,64,-16449
121853,-1098,89,-16448
121857,-1107,87,-16421
121861,-1094,91,-16427
121865,-1082,84,-16445
121870,-1094,112,-16437
121874,-1074,94,-16438
121878,-1080,73,-16442
121882,-1094,72,-16440
121886,-1095,73,-16438
121890,-1092,75,-16440
121894,-1079,67,-16423
121898,-1082,82,-16422
121902,-1098,69,-16418
121907,-1096,78,-16426
121911,-1106,77,-16433
121915,-1095,84,-16438
121919,-1088,71,-16439
121923,-1099,77,-16412
121927,-1083,88,-16418
121931,-1090,91,-16422
121935,-1103,88,-16430
121939,-1092,86,-16430
121943,-1098,59,-16443
121947,-1105,75,-16438
121952,-1096,78,-16442
121956,-1097,87,-16437
121960,-1101,80,-16438
121964,-1083,72,-16444
121968,-1074,74,-16427
121972,-1093,64,-16427
121976,-1087,93,-16430
121980,-1072,71,-16439
121984,-1099,76,-16429
121988,-1103,76,-16439
121993,-1092,77,-16423
121997,-1081,75,-16425
122001,-1096,97,-16436
122005,-1078,81,-16457
122009,-1078,94,-16419
122013,-1082,68,-16425
122017,-1090,62,-16457
122021,-1098,61,-16447
122025,-1090,93,-16453
122029,-1081,77,-16457
122034,-1093,84,-16417
122038,-1090,76,-16428
122042,-1078,86,-16425
122046,-1101,65,-16408
122050,-1101,85,-16421
122054,-1103,91,-16434
122058,-1100,94,-16442
122062,-1103,81,-16450
122066,-1103,76,-16463
122070,-1087,83,-16444
122075,-1089,91,-16452
122079,-1071,80,-16454
122083,-1116,70,-16425
122087,-1103,78,-16447
122091,-1077,70,-16429
122095,-1088,100,-16441
122099,-1088,86,-16440
122103,-1086,83,-16422
122107,-1120,81,-16442
122112,-1096,79,-16437
122116,-1097,75,-16442
122120,-1092,76,-16453
122124,-1095,78,-16446
122128,-1095,82,-16450
122132,-1090,83,-16425
122136,-1092,70,-16430
122140,-1108,76,-16427
122144,-1084,80,-16431
122148,-1086,89,-16433
122153,-1094,86,-16420
122157,-1088,81,-16425
122161,-1073,78,-16449
122165,-1105,83,-16436
122169,-1086,93,-16445
122173,-1078,74,-16435
122177,-1090,68,-16428
122181,-1101,77,-16422
122185,-1092,83,-16420
122189,-1100,85,-16426
122193,-1075,77,-16422
122198,-1086,77,-16431
122202,-1094,89,-16431
122206,-1103,75,-16418
122210,-1089,77,-16444
122214,-1098,84,-16440
122218,-1085,76,-16451
122222,-1088,71,-16431
122226,-1096,77,-16414
122230,-1104,78,-16430
122234,-1109,66,-16433
122239,-1096,72,-16424
122243,-1097,76,-16435
122247,-1098,91,-16425
122251,-1092,82,-16453
122255,-1100,77,-16439
122259,-1096,78,-16449
122263,-1094,75,-16441
122267,-1099,87,-16430
122271,-1094,58,-16442
122276,-1096,54,-16435
122280,-1093,81,-16431
122284,-1097,92,-16433
122288,-1086,94,-16426
122292,-1076,72,-16433
122296,-1084,90,-16418
122300,-1072,87,-16440
122304,-1086,79,-16448
122308,-1093,73,-16437
122312,-1097,77,-16440
122317,-1094,64,-16441
122321,-1075,69,-16458
122325,-1077,59,-16420
122329,-1085,92,-16440
122333,-1070,90,-16443
122337,-1072,89,-16436
122341,-1085,81,-16432
122345,-1081,96,-16441
122349,-1083,79,-16440
122353,-1105,67,-16445
122357,-1099,79,-16420
122361,-1085,79,-16430
122366,-1092,80,-16433
122370,-1090,96,-16422
122374,-1084,96,-16438
122378,-1096,94,-16437
122382,-1101,74,-16438
122386,-1093,73,-16440
122390,-1089,84,-16430
122394,-1091,76,-16431
122398,-1089,82,-16435
122402,-1102,84,-16442
122407,-1094,77,-16427
122411,-1108,66,-16439
122415,-1085,82,-16425
122419,-1073,70,-16443
122423,-1093,75,-16422
122427,-1079,60,-16427
122431,-1102,89,-16435
122435,-1088,100,-16437
122439,-1084,63,-16447
122444,-1092,67,-16421
122448,-1096,77,-16435
122452,-1098,88,-16434
122456,-1084,74,-16439
122460,-1106,73,-16427
122464,-1093,90,-16420
122468,-1095,77,-16422
122472,-1098,79,-16421
122476,-1094,80,-16429
122480,-1098,80,-16427
122484,-1082,67,-16422
122489,-1088,92,-16430
122493,-1097,82,-16432
122497,-1094,89,-16429
122501,-1096,82,-16421
122505,-1100,72,-16418
122509,-1106,76,-16438
122513,-1088,68,-16421
122517,-1106,75,-16424
122521,-1086,75,-16441
122526,-1085,86,-16428
122530,-1095,86,-16430
122534,-1106,84,-16431
122538,-1088,71,-16438
122542,-1073,79,-16434
122546,-1072,83,-16448
122550,-1088,89,-16449
122554,-1080,79,-16444
122558,-1087,67,-16441
122562,-1088,82,-16439
122567,-1083,94,-16451
122571,-1114,82,-16442
122575,-1107,89,-16426
122579,-1096,90,-16423
122583,-1105,89,-16441
122587,-1085,87,-16435
122591,-1078,89,-16432
122595,-1095,63,-16438
122599,-1083,91,-16443
122603,-1104,69,-16440
122608,-1102,57,-16431
122612,-1087,70,-16427
122616,-1091,80,-16436
122620,-1080,78,-16442
122624,-1081,80,-16450
122628,-1083,70,-16408
122632,-1096,78,-16432
122636,-1093,67,-16449
122640,-1083,58,-16449
122645,-1086,80,-16449
122649,-1081,80,-16415
122653,-1092,86,-16421
122657,-1099,91,-16435
122661,-1096,89,-16429
122665,-1079,75,-16424
122669,-1100,88,-16433
122673,-1095,72,-16434
122677,-1104,58,-16453
122681,-1090,77,-16448
122685,-1079,97,-16429
122690,-1093,90,-16440
122694,-1083,84,-16423
122698,-1089,82,-16424
122702,-1083,84,-16426
122706,-1063,77,-16435
122710,-1076,99,-16441
122714,-1093,102,-16449
122718,-1094,70,-16441
122722,-1097,81,-16443
122727,-1087,72,-16457
122731,-1099,82,-16446
122735,-1110,81,-16428
122739,-1086,71,-16428
122743,-1079,87,-16432
122747,-1083,91,-16419
122751,-1091,79,-16434
122755,-1101,77,-16449
122759,-1108,72,-16432
122763,-1093,83,-16432
122768,-1085,69,-16428
122772,-1089,75,-16439
122776,-1090,70,-16434
122780,-1117,82,-16431
122784,-1094,89,-16422
122788,-1083,91,-16451
122792,-1097,66,-16440
122796,-1099,66,-16424
122800,-1081,73,-16420
122805,-1079,71,-16431
122809,-1079,81,-16439
122813,-1096,76,-16438
122817,-1103,87,-16429
122821,-1091,83,-16441
122825,-1091,98,-16428
122829,-1089,72,-16412
122833,-1078,77,-16444
122837,-1101,83,-16435
122841,-1105,85,-16434
122846,-1089,60,-16404
122850,-1089,85,-16418
122854,-1098,71,-16425
122858,-1103,85,-16427
122862,-1086,74,-16438
122866,-1081,85,-16435
122870,-1093,79,-16430
122874,-1094,76,-16428
122878,-1094,90,-16420
122882,-1090,68,-16437
122887,-1077,81,-16437
122891,-1098,85,-16423
122895,-1107,75,-16438
122899,-1067,81,-16430
122903,-1085,74,-16418
122907,-1089,60,-16434
122911,-1085,62,-16418
122915,-1096,73,-16425
122919,-1104,95,-16440
122923,-1078,90,-16452
122927,-1086,75,-16443
122931,-1103,67,-16428
122936,-1076,71,-16431
122940,-1088,86,-16440
122944,-1085,75,-16434
122948,-1102,81,-16447
122952,-1093,80,-16440
122956,-1099,76,-16433
122960,-1093,76,-16416
122964,-1086,86,-16425
122968,-1093,78,-16429
122972,-1092,74,-16441
122976,-1100,70,-16427
122981,-1096,81,-16422
122985,-1099,80,-16438
122989,-1105,102,-16450
122993,-1101,86,-16433
122997,-1080,85,-16436
123001,-1060,74,-16434
123005,-1085,75,-16434
123009,-1093,75,-16446
123013,-1095,75,-16409
123017,-1088,75,-16430
123022,-1092,86,-16443
123026,-1074,87,-16429
123030,-1101,80,-16440
123034,-1085,82,-16455
123038,-1079,83,-16440
123042,-1090,68,-16430
123046,-1077,67,-16434
123050,-1107,78,-16416
123054,-1099,74,-16423
123058,-1099,74,-16425
123063,-1100,60,-16433
123067,-1076,78,-16442
123071,-1082,69,-16437
123075,-1075,84,-16449
123079,-1084,75,-16422
123083,-1089,84,-16430
123087,-1082,78,-16438
123091,-1096,73,-16427
123095,-1102,71,-16408
123099,-1096,86,-16433
123104,-1093,83,-16443
123108,-1088,94,-16446
123112,-1098,72,-16429
123116,-1084,82,-16421
123120,-1095,66,-16417
123124,-1093,74,-16420
123128,-1081,73,-16451
123132,-1081,77,-16448
123136,-1103,77,-16414
123140,-1089,76,-16428
123145,-1102,82,-16431
123149,-1097,78,-16424
123153,-1103,70,-16418
123157,-1094,77,-16421
123161,-1078,64,-16430
123165,-1085,78,-16417
123169,-1075,69,-16424
123173,-1072,58,-16422
123177,-1092,82,-16431
123181,-1091,74,-16429
123185,-1096,81,-16443
123190,-1090,87,-16416
123194,-1103,86,-16420
123198,-1098,82,-16431
123202,-1083,83,-16404
123206,-1084,66,-16432
123210,-1092,79,-16446
123214,-1084,61,-16433
123218,-1086,90,-16421
123222,-1076,80,-16459
123226,-1087,77,-16434
123231,-1083,80,-16431
123235,-1091,80,-16454
123239,-1094,79,-16443
123243,-1080,72,-16442
123247,-1097,74,-16433
123251,-1098,74,-16440
123255,-1116,93,-16440
123259,-1103,77,-16420
123263,-1099,67,-16428
123267,-1093,76,-16427
123272,-1096,90,-16438
123276,-1101,76,-16444
123280,-1111,85,-16434
123284,-1086,78,-16434
123288,-1086,73,-16439
123292,-1083,70,-16448
123296,-1084,63,-16441
123300,-1096,86,-16431
123304,-1101,97,-16446
123308,-1086,85,-16437
123312,-1089,65,-16445
123317,-1080,76,-16444
123321,-1069,69,-16428
123325,-1094,80,-16439
123329,-1097,76,-16434
123333,-1069,61,-16433
123337,-1090,67,-16431
123341,-1109,82,-16453
123345,-1098,80,-16437
123349,-1106,66,-16427
123353,-1098,78,-16424
123358,-1095,83,-16434
123362,-1087,65,-16443
123366,-1095,84,-16434
123370,-1091,74,-16440
123374,-1073,77,-16437
123378,-1090,74,-16446
123382,-1105,70,-16443
123386,-1073,78,-16441
123390,-1077,94,-16439
123394,-1088,79,-16443
123399,-1075,95,-16448
123403,-1086,68,-16429
123407,-1119,77,-16426
123411,-1093,88,-16428
123415,-1086,83,-16461
123419,-1103,90,-16458
123423,-1090,78,-16448
123427,-1096,78,-16415
